county,region
Dare,eastern
Tyrrell,eastern
Beaufort,eastern
Onslow,eastern
Pender,eastern
Pasquotank,eastern
Chowan,eastern
Martin,eastern
Carteret,eastern
Jones,eastern
Wilson,eastern
Wayne,eastern
Bertie,eastern
Brunswick,eastern
Halifax,eastern
Edgecombe,eastern
Hertford,eastern
Northampton,eastern
Hyde,eastern
Washington,eastern
Craven,eastern
New Hanover,eastern
Perquimans,eastern
Scotland,eastern
Currituck,eastern
Gates,eastern
Lenoir,eastern
Greene,eastern
Nash,eastern
Robeson,eastern
Cumberland,eastern
Pamlico,eastern
Sampson,eastern
Johnston,eastern
Bladen,eastern
Camden,eastern
Pitt,eastern
Duplin,eastern
Harnett,eastern
Columbus,eastern
Hoke,eastern
Person,central
Stanly,central
Union,central
Wake,central
Caswell,central
Alamance,central
Moore,central
Stokes,central
Anson,central
Rowan,central
Vance,central
Rockingham,central
Montgomery,central
Lee,central
Davidson,central
Surry,central
Gaston,central
Franklin,central
Orange,central
Iredell,central
Warren,central
Randolph,central
Chatham,central
Davie,central
Yadkin,central
Durham,central
Richmond,central
Forsyth,central
Granville,central
Guilford,central
Cabarrus,central
Mecklenburg,central
Lincoln,central
Henderson,western
Jackson,western
Clay,western
Graham,western
Caldwell,western
Yancey,western
Swain,western
Catawba,western
McDowell,western
Avery,western
Cleveland,western
Rutherford,western
Transylvania,western
Haywood,western
Watauga,western
Wilkes,western
Burke,western
Alexander,western
Ashe,western
Madison,western
Mitchell,western
Macon,western
Alleghany,western
Buncombe,western
Polk,western
Cherokee,western
